archivo,formato,metodo,chars,marcas_juridicas,estado,detalle
T-058-09.rtf,.rtf,striprtf,220693,196,OK,
T-058-14.rtf,.rtf,striprtf,32118,46,OK,
T-059-95.rtf,.rtf,striprtf,23374,16,OK,
T-060-12.rtf,.rtf,striprtf,42924,72,OK,
T-063-06.rtf,.rtf,striprtf,57457,91,OK,
T-063-17.rtf,.rtf,striprtf,96873,109,OK,
T-065-15.doc,.doc,libreoffice,70203,112,OK,
T-066-06.rtf,.rtf,striprtf,55513,69,OK,
T-067-10.rtf,.rtf,striprtf,64210,111,OK,
T-069-22.rtf,.rtf,striprtf,114551,125,OK,
T-071-17.doc,.doc,libreoffice,152995,198,OK,
T-075-23.rtf,.rtf,striprtf,59169,78,OK,
T-075-96.rtf,.rtf,striprtf,25040,40,OK,
T-080-15.rtf,.rtf,striprtf,277131,128,OK,
T-089-05.rtf,.rtf,striprtf,28267,69,OK,
T-092-93.rtf,.rtf,striprtf,40564,40,OK,
T-093-14.rtf,.rtf,striprtf,44901,62,OK,
T-093-15.rtf,.rtf,striprtf,41098,69,OK,
T-093-23.docx,.docx,python-docx,206382,167,OK,
T-099-05.rtf,.rtf,striprtf,39301,85,OK,
T-1006-06.rtf,.rtf,striprtf,45759,79,OK,
T-1008-05.rtf,.rtf,striprtf,40020,87,OK,
T-101-24.docx,.docx,python-docx,68029,113,OK,
T-1016-99.rtf,.rtf,striprtf,65014,44,OK,
T-1018-05.rtf,.rtf,striprtf,45190,57,OK,
T-1025-00.rtf,.rtf,striprtf,16129,12,OK,
T-1025-10.rtf,.rtf,striprtf,63068,83,OK,
T-1026-03.rtf,.rtf,striprtf,38640,87,OK,
T-1026-12.rtf,.rtf,striprtf,81587,129,OK,
T-1038-04.rtf,.rtf,striprtf,37982,40,OK,
T-1046-10.rtf,.rtf,striprtf,62942,112,OK,
T-1063-06.rtf,.rtf,striprtf,46003,61,OK,
T-107-14.rtf,.rtf,striprtf,89354,144,OK,
T-107-93.rtf,.rtf,striprtf,13906,35,OK,
T-108-19.doc,.doc,libreoffice,38330,75,OK,
T-1081-08.rtf,.rtf,striprtf,19792,56,OK,
T-1091-08.rtf,.rtf,striprtf,30357,39,OK,
T-1136-00.rtf,.rtf,striprtf,20588,51,OK,
T-115-23.rtf,.rtf,striprtf,60810,60,OK,
T-1160-01.rtf,.rtf,striprtf,20099,28,OK,
T-117-11.rtf,.rtf,striprtf,26778,64,OK,
T-117-97.rtf,.rtf,striprtf,26698,65,OK,
T-1199-00.rtf,.rtf,striprtf,24347,35,OK,
T-1204-01.rtf,.rtf,striprtf,146715,171,OK,
T-1205-01.rtf,.rtf,striprtf,70068,86,OK,
T-1205-04.rtf,.rtf,striprtf,36321,47,OK,
T-1212-04.rtf,.rtf,striprtf,85078,145,OK,
T-1224-08.rtf,.rtf,striprtf,29579,29,OK,
T-1225-01.rtf,.rtf,striprtf,31699,49,OK,
T-1252-05.rtf,.rtf,striprtf,37505,70,OK,
T-1273-05.rtf,.rtf,striprtf,18053,37,OK,
T-1276-05.rtf,.rtf,striprtf,44495,61,OK,
T-131-21.rtf,.rtf,striprtf,139167,318,OK,
T-131-22.rtf,.rtf,striprtf,79103,125,OK,
T-1318-05.rtf,.rtf,striprtf,83083,84,OK,
T-132-11.rtf,.rtf,striprtf,69553,118,OK,
T-1322-00.rtf,.rtf,striprtf,31239,36,OK,
T-1327-01.rtf,.rtf,striprtf,27261,64,OK,
T-1331-01.rtf,.rtf,striprtf,38659,77,OK,
T-1335-01.rtf,.rtf,striprtf,24427,48,OK,
T-1352-00.rtf,.rtf,striprtf,24492,71,OK,
T-1384-00.rtf,.rtf,striprtf,33226,29,OK,
T-140-15.rtf,.rtf,striprtf,79498,44,OK,
T-140-22.rtf,.rtf,striprtf,105811,191,OK,
T-141-03.rtf,.rtf,striprtf,40195,54,OK,
T-1467-00.rtf,.rtf,striprtf,15861,25,OK,
T-1468-00.rtf,.rtf,striprtf,17662,19,OK,
T-154A-95.rtf,.rtf,striprtf,27545,28,OK,
T-158-95.rtf,.rtf,striprtf,19659,29,OK,
T-159-00.rtf,.rtf,striprtf,23008,43,OK,
T-160-10.rtf,.rtf,striprtf,57102,134,OK,
T-1613-00.rtf,.rtf,striprtf,16563,28,OK,
T-163-14.rtf,.rtf,striprtf,37667,29,OK,
T-164-12.rtf,.rtf,striprtf,84091,134,OK,
T-173-22.rtf,.rtf,striprtf,108691,133,OK,
T-176-05.rtf,.rtf,striprtf,27025,89,OK,
T-179-04.rtf,.rtf,striprtf,22749,44,OK,
T-180A-17.docx,.docx,python-docx,97937,77,OK,
T-189-13.rtf,.rtf,striprtf,52802,52,OK,
T-191-03.rtf,.rtf,striprtf,7947,17,OK,
T-196-07.rtf,.rtf,striprtf,59093,142,OK,
T-197-07.rtf,.rtf,striprtf,156694,293,OK,
T-198-03.rtf,.rtf,striprtf,35957,67,OK,
T-198-19.docx,.docx,python-docx,167446,264,OK,
T-198-93.rtf,.rtf,striprtf,36655,40,OK,
T-203-08.rtf,.rtf,striprtf,34537,48,OK,
T-204-09.rtf,.rtf,striprtf,51260,71,OK,
T-212-93.rtf,.rtf,striprtf,16915,33,OK,
T-218-07.rtf,.rtf,striprtf,37034,57,OK,
T-221-10.rtf,.rtf,striprtf,44281,59,OK,
T-222-04.rtf,.rtf,striprtf,59129,113,OK,
T-227-07.rtf,.rtf,striprtf,41866,84,OK,
T-228-25.docx,.docx,python-docx,173504,194,OK,
T-229-16.rtf,.rtf,striprtf,157818,194,OK,
T-231-07.rtf,.rtf,striprtf,66953,92,OK,
T-232-99.rtf,.rtf,striprtf,28116,86,OK,
T-241-13.rtf,.rtf,striprtf,63649,168,OK,
T-243-19.docx,.docx,python-docx,76089,128,OK,
T-244-07.rtf,.rtf,striprtf,112054,178,OK,
T-250-14.rtf,.rtf,striprtf,35254,63,OK,
T-259-10.rtf,.rtf,striprtf,23514,29,OK,
T-262-07.rtf,.rtf,striprtf,42777,68,OK,
T-263-04.rtf,.rtf,striprtf,21471,43,OK,
T-266-08.rtf,.rtf,striprtf,40066,85,OK,
T-268-13.rtf,.rtf,striprtf,84865,158,OK,
T-269-06.rtf,.rtf,striprtf,48637,68,OK,
T-271-02.rtf,.rtf,striprtf,18200,38,OK,
T-271-06.rtf,.rtf,striprtf,59015,86,OK,
T-271-07.rtf,.rtf,striprtf,43963,84,OK,
T-275-00.rtf,.rtf,striprtf,13036,30,OK,
T-279-16.rtf,.rtf,striprtf,60972,128,OK,
T-280-03.rtf,.rtf,striprtf,61151,109,OK,
T-283-01.rtf,.rtf,striprtf,46652,40,OK,
T-289-03.rtf,.rtf,striprtf,78188,145,OK,
T-289-97.rtf,.rtf,striprtf,32406,56,OK,
T-291-23.rtf,.rtf,striprtf,89533,67,OK,
T-294-99.rtf,.rtf,striprtf,36605,65,OK,
T-295-94.rtf,.rtf,striprtf,44571,68,OK,
T-296-07.rtf,.rtf,striprtf,23338,60,OK,
T-299-13.rtf,.rtf,striprtf,49042,29,OK,
T-301-06.rtf,.rtf,striprtf,15133,42,OK,
T-309-06.rtf,.rtf,striprtf,35282,71,OK,
T-309-16.rtf,.rtf,striprtf,165701,158,OK,
T-311-16.rtf,.rtf,striprtf,77346,54,OK,
T-315-06.rtf,.rtf,striprtf,37955,46,OK,
T-317-01.rtf,.rtf,striprtf,19263,32,OK,
T-324-13.rtf,.rtf,striprtf,60889,95,OK,
T-328-09.rtf,.rtf,striprtf,45633,72,OK,
T-330A-12.rtf,.rtf,striprtf,29586,52,OK,
T-331-24.docx,.docx,python-docx,90390,198,OK,
T-332-94.rtf,.rtf,striprtf,26505,34,OK,
T-333-11.rtf,.rtf,striprtf,70363,58,OK,
T-334-01.rtf,.rtf,striprtf,20758,31,OK,
T-340-15.rtf,.rtf,striprtf,72191,120,OK,
T-340-94.rtf,.rtf,striprtf,14535,42,OK,
T-342-13.rtf,.rtf,striprtf,41245,72,OK,
T-348-10.rtf,.rtf,striprtf,49105,64,OK,
T-350-22.rtf,.rtf,striprtf,76370,76,OK,
T-351-97.rtf,.rtf,striprtf,35014,51,OK,
T-353-08.rtf,.rtf,striprtf,18797,25,OK,
T-354-19.docx,.docx,python-docx,158977,249,OK,
T-355-18.docx,.docx,python-docx,51169,71,OK,
T-356-98.rtf,.rtf,striprtf,10875,28,OK,
T-358-07.doc,.doc,libreoffice,106995,70,OK,
T-358-10.rtf,.rtf,striprtf,24786,40,OK,
T-367-09.rtf,.rtf,striprtf,101048,106,OK,
T-383-18.doc,.doc,libreoffice,61683,66,OK,
T-396-96.rtf,.rtf,striprtf,14180,14,OK,
T-398-14.rtf,.rtf,striprtf,62367,80,OK,
T-403-94.rtf,.rtf,striprtf,32634,48,OK,
T-404-93.rtf,.rtf,striprtf,39583,95,OK,
T-406-96.rtf,.rtf,striprtf,37324,58,OK,
T-407-07.rtf,.rtf,striprtf,44958,83,OK,
T-419-09.rtf,.rtf,striprtf,39539,71,OK,
T-423-92.rtf,.rtf,striprtf,21636,34,OK,
T-427-07.rtf,.rtf,striprtf,93455,190,OK,
T-427-14.rtf,.rtf,striprtf,67517,151,OK,
T-433-16.rtf,.rtf,striprtf,212143,76,OK,
