archivo,metodo,paginas,chars,marcas_juridicas,estado,detalle,segundos
sc1815_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2017_po_527564_número_de_pr.pdf,nativo,80,114002,9,OK,,0.3
sc18614_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_12_2016_p_524597_número_de_pr.pdf,nativo,68,93115,13,OK,,0.4
sc1929_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_05_2021_po_731641_número_de_pr.pdf,nativo,24,34272,29,OK,,0.2
sc18146_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_12_2016_p_523244_número_de_pr.pdf,nativo,90,127574,37,OK,,1.0
sc19903_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_11_2017_p_591610_número_de_pr.pdf,nativo,60,98506,38,OK,,0.1
sc1947_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_30_06_2022_po_773266_número_de_pr.pdf,nativo,62,109249,48,OK,,0.3
sc2068_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_22_02_2016_po_471330_número_de_pr.pdf,nativo,32,64045,14,OK,,0.2
sc2107_2018_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_12_06_2018_po_634132_número_de_pr.pdf,nativo,71,80169,8,OK,,0.4
sc21801_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_12_2017_p_613875_número_de_pr.pdf,nativo,85,134976,57,OK,,0.5
sc2202_2019_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_20_06_2019_po_667855_número_de_pr.pdf,nativo,69,174329,63,OK,,0.5
sc2362_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_13_07_2022_po_774441_número_de_pr.pdf,nativo,33,50176,48,OK,,0.3
sc2506_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_02_03_2016_po_471839_número_de_pr.pdf,nativo,58,129921,11,OK,,1.0
sc2582_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_27_07_2020_po_700621_número_de_pr.pdf,nativo,140,212195,118,OK,,1.2
sc2719_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_01_09_2022_po_779281_número_de_pr.pdf,nativo,129,206423,181,OK,,0.7
sc282_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2021_pon_721538_número_de_pr.pdf,nativo,62,90294,108,OK,,0.5
sc2850_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_10_2022_po_784543_número_de_pr.pdf,nativo,148,222904,177,OK,,0.5
sc2879_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_27_09_2022_po_781082_número_de_pr.pdf,nativo,129,221116,249,OK,,0.5
sc2905_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_07_2021_po_738974_número_de_pr.pdf,nativo,59,90528,115,OK,,0.2
sc2906_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_07_2021_po_739039_número_de_pr.pdf,nativo,61,92494,45,OK,,0.2
sc2930_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_07_2021_po_736862_número_de_pr.pdf,nativo,31,45939,35,OK,,0.2
sc292_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2021_pon_721535_número_de_pr.pdf,nativo,62,103003,46,OK,,0.5
sc3159_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_30_09_2022_po_781497_número_de_pr.pdf,nativo,56,88249,63,OK,,0.2
sc295_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2021_pon_721536_número_de_pr.pdf,nativo,51,80034,69,OK,,0.4
sc3194_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741005_número_de_pr.pdf,nativo,54,86839,55,OK,,0.2
sc3179_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_28_07_2021_po_738751_número_de_pr.pdf,nativo,101,156051,82,OK,,0.7
sc3273_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_09_2020_po_706877_número_de_pr.pdf,nativo,54,90224,142,OK,,0.5
sc3346_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_09_2020_po_707692_número_de_pr.pdf,nativo,40,58099,50,OK,,0.2
sc3375_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_01_09_2021_po_742707_número_de_pr.pdf,nativo,55,89560,151,OK,,0.2
sc3460_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741106_número_de_pr.pdf,nativo,68,119382,47,OK,,0.3
sc3462_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741109_número_de_pr.pdf,nativo,79,136191,62,OK,,0.3
sc3467_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_21_09_2020_po_708342_número_de_pr.pdf,nativo,33,50792,56,OK,,0.1
sc3535_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741084_número_de_pr.pdf,nativo,31,53874,55,OK,,0.1
sc3627_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_02_11_2021_po_744547_número_de_pr.pdf,nativo,78,123957,69,OK,,0.3
sc3654_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_741815_número_de_pr.pdf,nativo,39,59687,64,OK,,0.2
sc3663_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_22_11_2022_po_788788_número_de_pr.pdf,nativo,48,79175,101,OK,,0.3
sc3674_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_741820_número_de_pr.pdf,nativo,24,36550,89,OK,,0.2
sc3675_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_741824_número_de_pr.pdf,nativo,43,64764,99,OK,,0.3
sc3666_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_742226_número_de_pr.pdf,nativo,154,257451,477,OK,,1.3
sc3687_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_742061_número_de_pr.pdf,nativo,56,89633,54,OK,,0.7
sc3727_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_08_09_2021_po_744028_número_de_pr.pdf,nativo,42,68913,78,OK,,0.2
sc3689_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_741809_número_de_pr.pdf,nativo,62,95478,153,OK,,0.7
sc3728_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_08_2021_po_742056_número_de_pr.pdf,nativo,56,81171,59,OK,,0.6
sc3732_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_08_2021_po_742059_número_de_pr.pdf,nativo,36,58831,48,OK,,0.5
sc3840_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_13_10_2020_po_710803_número_de_pr.pdf,nativo,24,42547,72,OK,,0.2
sc3755_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_28_11_2022_po_789342_número_de_pr.pdf,nativo,60,101701,199,OK,,0.5
sc3889_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_08_09_2021_po_743648_número_de_pr.pdf,nativo,36,52389,29,OK,,0.1
sc3890_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_09_2021_po_744278_número_de_pr.pdf,nativo,33,45527,45,OK,,0.1
sc3893_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_10_2020_po_711485_número_de_pr.pdf,nativo,43,71939,86,OK,,0.2
sc3907_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_08_09_2021_po_743658_número_de_pr.pdf,nativo,64,108828,124,OK,,0.7
sc3928_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_10_2020_po_711291_número_de_pr.pdf,nativo,32,46866,49,OK,,0.4
sc3919_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_08_09_2021_po_743740_número_de_pr.pdf,nativo,58,89199,52,OK,,0.9
sc3929_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_10_2020_po_711290_número_de_pr.pdf,nativo,25,35230,37,OK,,0.1
sc3930_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_10_2020_po_711293_número_de_pr.pdf,nativo,70,99824,70,OK,,0.4
sc3941_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_10_2020_po_711611_número_de_pr.pdf,nativo,140,211717,159,OK,,1.0
sc397_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_22_02_2021_pon_722675_número_de_pr.pdf,nativo,84,143586,96,OK,,0.7
sc4063_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_10_2020_po_711858_número_de_pr.pdf,nativo,18,24759,34,OK,,0.1
sc4066_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_10_2020_po_711860_número_de_pr.pdf,nativo,36,51330,78,OK,,0.3
sc4126_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_30_09_2021_po_746287_número_de_pr.pdf,nativo,54,79095,79,OK,,0.3
sc4425_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_05_10_2021_po_746797_número_de_pr.pdf,nativo,58,100121,60,OK,,0.5
sc4174_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_13_10_2021_po_747572_número_de_pr.pdf,nativo,90,143907,97,OK,,0.6
sc4455_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_10_2021_po_749019_número_de_pr.pdf,nativo,45,65645,59,OK,,0.2
sc451_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_01_2017_pon_525744_número_de_pr.pdf,nativo,48,70106,0,SOSPECHOSO,"70106 chars, 0 marcas",0.1
sc4856_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_02_11_2021_po_749544_número_de_pr.pdf,nativo,46,70961,69,OK,,0.4
sc4786_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_12_2020_po_716655_número_de_pr.pdf,nativo,64,96270,89,OK,,0.4
sc487_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_04_04_2022_pon_764531_número_de_pr.pdf,nativo,81,124825,120,OK,,0.3
sc4966_2019_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_11_2019_po_683402_número_de_pr.pdf,nativo,70,155080,42,OK,,0.6
sc5025_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_12_2020_po_717248_número_de_pr.pdf,nativo,32,43368,35,OK,,0.3
sc5065_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_12_2020_po_717243_número_de_pr.pdf,nativo,23,36112,51,OK,,0.1
sc5106_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_sentencia_sustituti_753946_número_de_pr.pdf,nativo,64,96790,77,OK,,0.3
sc5040_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_06_12_2021_po_752755_número_de_pr.pdf,nativo,87,156070,127,OK,,0.5
sc5131_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_12_2020_po_717705_número_de_pr.pdf,nativo,31,46313,48,OK,,0.2
sc5125_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_12_2020_po_717704_número_de_pr.pdf,nativo,90,136219,98,OK,,0.5
sc5176_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_12_2020_po_718493_número_de_pr.pdf,nativo,57,105870,88,OK,,0.3
sc5183_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_12_2020_po_718597_número_de_pr.pdf,nativo,57,89361,120,OK,,0.4
sc5185_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_11_2021_po_751932_número_de_pr.pdf,nativo,82,129739,202,OK,,0.3
sc5191_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_12_2020_po_718325_número_de_pr.pdf,nativo,69,111597,160,OK,,0.4
sc5430_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_12_2021_po_752896_número_de_pr.pdf,nativo,131,225927,261,OK,,0.6
sc5473_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_16_12_2021_po_754132_número_de_pr.pdf,nativo,55,82947,43,OK,,0.3
sc5533_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_24_04_2017_po_535021_número_de_pr.pdf,nativo,42,51121,22,OK,,0.2
sc562_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_27_02_2020_pon_691156_número_de_pr.pdf,nativo,105,196924,33,OK,,0.4
